"","timestamp","bean_kind","extract_age","alcohol_ratio","alcohol_heated","split","oak_finish","flavor","smell_boozy","smell_vanilla","color","use_again"
"102","3/31/2021 21:51","Madagascar Bourbon Cure","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","Yes, I used Medium Toast",5,2,4,5,"Yes"
"103","3/31/2021 21:56","Madagascar Bourbon Cure","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",4,3,5,4,"Yes"
"104","3/31/2021 22:04","Indonesian","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","Not yet",3,3,3,3,"Maybe"
"105","3/31/2021 22:40","Madagascar Bourbon Cure","12-15 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",5,5,5,5,"Yes"
"106","3/31/2021 22:46","Madagascar Bourbon Cure","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",2,4,3,3,"Yes"
"107","3/31/2021 22:47","Madagascar Bourbon Cure","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,3,3,3,"Yes"
"108","3/31/2021 22:49","Mixed","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",NA,2,1,1,"Maybe"
"109","3/31/2021 23:02","Madagascar Bourbon Cure","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","","Part of the beans were split","No",4,3,4,3,"Yes"
"110","4/1/2021 0:29","Madagascar Bourbon Cure","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","Not heated","None of the beans were split","No",5,5,5,5,"Yes"
"111","4/1/2021 0:31","Ugandan","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","Not heated","Part of the beans were split","No",5,5,5,5,"Yes"
"112","4/1/2021 0:34","Madagascar Bourbon Cure","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,4,5,4,"Yes"
"113","4/1/2021 0:36","Madagascar Mexican Cure","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,3,4,4,"Yes"
"114","4/1/2021 0:42","V. tahitensis Papua New Guinea","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,5,5,4,"Yes"
"115","4/1/2021 0:46","Madagascar Mexican Cure","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,4,5,4,"Yes"
"116","4/1/2021 3:17","Madagascar Bourbon Cure","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,5,5,4,"Yes"
"117","4/1/2021 3:39","Madagascar Mexican Cure","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,5,4,4,"Yes"
"118","4/1/2021 4:34","Madagascar Bourbon Cure","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",4,3,4,4,"Yes"
"119","4/1/2021 5:27","Madagascar Bourbon Cure","18 months or older","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,5,5,4,"Yes"
"120","4/1/2021 5:28","Madagascar Bourbon Cure","18 months or older","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,5,5,5,"Yes"
"121","4/1/2021 5:30","Madagascar Bourbon Cure","12-15 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",5,5,5,5,"Yes"
"122","4/1/2021 5:31","V. tahitensis Papua New Guinea","9-12 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",5,5,5,5,"Yes"
"123","4/1/2021 5:47","Ugandan","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",NA,NA,3,2,"Maybe"
"124","4/1/2021 5:47","Madagascar Bourbon Cure","18 months or older","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",5,5,5,5,"Yes"
"125","4/1/2021 5:48","Madagascar Mexican Cure","18 months or older","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",5,5,5,5,"Yes"
"126","4/1/2021 5:48","Madagascar Bourbon Cure","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",NA,4,3,4,"Yes"
"127","4/1/2021 7:32","Madagascar Bourbon Cure","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No heat","None of the beans were split","No",4,3,4,4,"Yes"
"128","4/1/2021 7:44","Madagascar Mexican Cure","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,5,4,4,"Yes"
"129","4/1/2021 7:53","Madagascar Bourbon Cure","6-9 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","","None of the beans were split","No",4,4,4,5,"Yes"
"130","4/1/2021 7:56","3 oz each Madagascar Bourbon, Sri Lankan, Ugandan splits, and PNG Planifolia","6-9 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","Yes, I used Dark Toast",5,5,4,4,"Yes"
"131","4/1/2021 8:24","Madagascar Bourbon Cure","","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",NA,NA,NA,NA,"Yes"
"132","4/1/2021 9:08","Madagascar Bourbon Cure","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","125 for 72 hours","None of the beans were split","No",5,4,5,4,"Yes"
"133","4/1/2021 9:09","Indonesian","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","no","None of the beans were split","No",5,5,5,4,"Yes"
"134","4/1/2021 10:34","Madagascar Bourbon Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,3,4,3,"Maybe"
"135","4/1/2021 11:17","Madagascar Bourbon Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","Still brewing ",NA,NA,3,2,"Yes"
"136","4/1/2021 11:19","Tahitian ","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","",NA,2,3,NA,"Yes"
"137","4/1/2021 11:21","Indonesian/Madagascar ","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","",NA,NA,3,3,"Yes"
"138","4/1/2021 11:23","Ugandan","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","",NA,4,3,4,"Yes"
"139","4/1/2021 11:26","Mexican","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","",NA,NA,NA,NA,"Yes"
"140","4/1/2021 14:47","Ugandan","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,4,4,5,"Yes"
"141","4/1/2021 14:47","Ugandan","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,4,4,5,"Yes"
"142","4/1/2021 15:27","Madagascar Bourbon Cure","3-6 months","Higher than Triple Fold (More than 3 oz beans per cup of alcohol)","","Part of the beans were split","No",NA,NA,NA,NA,"Yes"
"143","4/1/2021 16:55","Sri Lankan","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","Sous vide 60 hrs @ 120 deg","None of the beans were split","No",5,3,4,4,"Yes"
"144","4/1/2021 18:47","all my beans go in the Kirkland vodka!","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","no","None of the beans were split","No",5,5,5,5,"Yes"
"145","4/2/2021 0:30","Madagascar Mexican Cure","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",3,2,3,3,"Maybe"
"146","4/2/2021 7:52","Indonesian","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","yes, sous vide ","None of the beans were split","No",5,4,3,5,"Yes"
"147","4/2/2021 10:01","Madagascar Bourbon Cure","3-6 months","Triple Fold (About 3 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,5,5,5,"Yes"
"148","4/2/2021 11:14","Indonesian","1-3 months","Unknown","No","Yes, all the beans were split","No",2,2,4,3,"No"
"149","4/2/2021 11:44","Madagascar Bourbon Cure","6-9 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","","Part of the beans were split","No",5,4,5,5,"Yes"
"150","4/2/2021 12:11","Madagascar Bourbon Cure","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","","Yes, all the beans were split","No",5,4,4,3,"Maybe"
"151","4/2/2021 12:21","Tahitian Tahitentis","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",3,4,4,2,"No"
"152","4/2/2021 13:09","Madagascar Bourbon Cure","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",2,1,3,4,"No"
"153","4/2/2021 14:20","Mexican","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,5,5,4,"Yes"
"154","4/2/2021 14:59","Madagascar Bourbon Cure","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","no","None of the beans were split","No",4,4,4,4,"Yes"
"155","4/2/2021 15:02","Madagascar Bourbon Cure","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","no","None of the beans were split","No",4,2,2,4,"Maybe"
"156","4/2/2021 17:43","Madagascar Bourbon Cure","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","","No",3,3,4,4,"Yes"
"157","4/3/2021 1:51","V. tahitensis Papua New Guinea","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No, it was vacuum sealed in a jar initially","None of the beans were split","No",5,4,5,4,"Yes"
"158","4/3/2021 17:21","Madagascar Bourbon Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","","None of the beans were split","No",5,5,5,5,"Yes"
"159","4/4/2021 8:03","Madagascar Bourbon Cure","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,4,3,4,"Yes"
